time,px,py,pz,vx,vy,vz,roll,pitch,yaw,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,innov_norm,maha_dist
0,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0025,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0075,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0125,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0175,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0225,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0275,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0325,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.035,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0375,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0425,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.045,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0475,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0525,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.055,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0575,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0625,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.065,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0675,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0725,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.075,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0775,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0825,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.085,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0875,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0925,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.095,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.0975,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1025,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.105,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1075,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1125,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.115,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1175,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1225,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.125,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1275,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1325,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.135,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1375,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1425,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.145,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1475,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1525,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.155,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1575,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1625,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.165,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1675,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1725,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.175,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1775,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1825,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.185,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1875,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1925,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.195,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.1975,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2025,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.205,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2075,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2125,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.215,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2175,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2225,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.225,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2275,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2325,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.235,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2375,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2425,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.245,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2475,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2525,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.255,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2575,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2625,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.265,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2675,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2725,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.275,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2775,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2825,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.285,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2875,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2925,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.295,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.2975,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3025,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.305,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3075,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3125,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.315,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3175,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3225,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.325,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3275,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3325,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.335,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3375,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3425,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.345,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3475,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3525,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.355,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3575,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3625,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.365,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3675,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3725,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.375,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3775,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3825,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.385,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3875,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3925,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.395,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.3975,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4025,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.405,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4075,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4125,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.415,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4175,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4225,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.425,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4275,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4325,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.435,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4375,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.44,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4425,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.445,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4475,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4525,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.455,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4575,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.46,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4625,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.465,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4675,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4725,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.475,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4775,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.48,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4825,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.485,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4875,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.49,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4925,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.495,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
0.4975,0,0,0,0,0,0,0.01584505,0.02671978,-0.3902552,0,0,0,0,0,0,0,0
